,city,latitude,longitude,runners,distance,population,canton
600,Chêne-Bourg,46.19735,6.19731,12,67218.0,nan,nan
601,F-Anthy sur Leman,46.355143,6.426858999999999,1,82454.0,nan,nan
602,Thun,46.7579868,7.6279881,13,137691.0,43500,BE
603,Zollikon,47.3412096,8.577214600000001,3,232495.0,12744,ZH
604,Bellevue,47.6101497,-122.2015159,10,,nan,nan
605,Les Acacias,n,a,5,80988.0,nan,nan
606,F-Chelles,48.87753499999999,2.59016,1,530610.0,nan,nan
607,E-Alcorcon,40.3468454,-3.8278443,1,1458758.0,nan,nan
608,Vich,46.131859,3.425488,5,359317.0,nan,nan
609,Corseaux,46.4702528,6.8289971,16,17100.0,nan,nan
610,Worblaufen,46.9761433,7.4818936,3,110426.0,nan,nan
611,F-Bonne,50.73743,7.0982068,2,662577.0,nan,nan
612,Utzenstorf,47.12816670000001,7.5588034,1,130365.0,nan,nan
613,MON-Monaco,n,a,2,531827.0,nan,nan
614,I-Roma (RM),41.9027835,12.4963655,4,898621.0,nan,nan
615,F-Cranves Sales,46.1876419,6.292593,5,100245.0,nan,nan
616,I-Cinto Caomaggiore (VE),45.82484350000001,12.7860829,1,650793.0,nan,nan
617,R-Bucharest,44.4267674,26.1025384,2,2048450.0,nan,nan
618,F-Compreignac,45.993032,1.274433,1,552401.0,nan,nan
619,F-Blagnac,43.63508700000001,1.39703,2,755831.0,nan,nan
620,F-Courbevoie,48.900552,2.25929,3,526917.0,nan,nan
621,F-Varogne,47.714776,6.202672,1,194119.0,nan,nan
622,Orges,46.80801,6.5883556,3,298142.0,nan,nan
623,F-Sergy,46.251997,5.999084,6,73497.0,nan,nan
624,Montet (Glâne),46.64370719999999,6.8153915,2,25753.0,nan,nan
625,F-Anthy/leman,46.355143,6.426858999999999,1,82454.0,nan,nan
626,Castione,46.21485070000001,9.0463112,1,448317.0,nan,nan
627,Roche VD,46.3603257,6.931504599999999,2,38699.0,nan,nan
628,Granges-Paccot,46.8222963,7.150943799999999,4,74881.0,nan,nan
629,Versegères,46.0656,7.23412,4,92960.0,nan,nan
630,Orient,41.1389875,-72.303415,3,,nan,nan
631,F-Malbuisson,46.798952,6.304696,6,62913.0,nan,nan
632,Salins,48.42160399999999,3.0216,3,95792.0,nan,nan
633,La Sarraz,46.6582337,6.5126843,19,25243.0,2564,VD
634,F-Cleden Cap Sizun,48.048099,-4.647568,1,1082080.0,nan,nan
635,F-Tournefeuille,43.5829,1.346834,4,756035.0,nan,nan
636,Matran,46.785386,7.0958855,5,67623.0,nan,nan
637,Adliswil,47.3124347,8.5270459,5,236006.0,18551,ZH
638,I-Feletto (TO),45.3050998,7.746289399999999,1,235077.0,nan,nan
639,Conthey,46.2244777,7.303512,9,91299.0,8485,VS
640,Laconnex,46.1556213,6.035971399999999,4,73482.0,nan,nan
641,F-Longages,43.355846,1.23666,1,774686.0,nan,nan
642,F-Saint-cergues,46.236319,6.322394,1,108117.0,nan,nan
643,Grolley,46.8328352,7.067190399999999,6,55612.0,nan,nan
644,Wabern,46.92901639999999,7.448973199999999,7,696117.0,nan,nan
645,Bossonnens,46.5258557,6.852344700000001,9,22516.0,nan,nan
646,F-Poissy,48.929584,2.046982,1,545194.0,nan,nan
647,Montpreveyres,46.5821207,6.7408098,7,12561.0,nan,nan
648,Vugelles-La Mothe,46.8189441,6.5681258,4,45025.0,nan,nan
649,Les Bioux,46.6495753,6.3202576,1,62834.0,nan,nan
650,F-Chamonix Mont Blanc,45.923697,6.869433,1,115327.0,nan,nan
651,Buchs AG,47.3910649,8.0798273,1,192657.0,nan,nan
652,GB-Cambridge,52.205337,0.121817,3,1002497.0,nan,nan
653,F-La Roche Blanche,45.700817,3.127851,1,380712.0,nan,nan
654,F-Lojawerpo,n,a,1,,nan,nan
655,Corcelles NE,46.98504,6.8723478,8,71390.0,nan,nan
656,Aclens,46.5677921,6.5099601,3,18870.0,nan,nan
657,Plan-les-Ouates,46.1668075,6.1145793,16,72261.0,10344,GE
658,F-Miserey Salines,47.286741,5.972557999999999,1,137771.0,nan,nan
659,F-Farges,46.167409,5.905196000000001,1,81758.0,nan,nan
660,F-Champvans,47.106481,5.43422,2,164886.0,nan,nan
661,Ferreyres,46.6583354,6.4856196,6,27438.0,nan,nan
662,F-Suresnes,48.869798,2.219033,3,523238.0,nan,nan
663,Donneloye,46.7429065,6.7140683,1,44863.0,nan,nan
664,Moiry VD,46.6488422,6.453651799999999,2,30280.0,nan,nan
665,Rivaz,46.4764133,6.778613099999999,6,13975.0,nan,nan
666,Forel (Lavaux),46.5404339,6.7694712,16,13584.0,nan,nan
667,Curtilles,46.699182,6.849531799999999,3,31406.0,nan,nan
668,F-Cinqueux,49.319118,2.525296,1,592564.0,nan,nan
669,F-Mouy,49.319128,2.319705,1,596331.0,nan,nan
670,F-Saint Julien D'Oddes,45.847748,3.996849,1,297268.0,nan,nan
671,B-Fraiture,50.2363802,5.759278,1,548854.0,nan,nan
672,F-Etaules,45.733343,-1.100581,1,761430.0,nan,nan
673,F-Grande Riviere,48.3958679,-64.4912636,1,,nan,nan
674,F-Marsac en Livradois,45.478751,3.729583,1,347302.0,nan,nan
675,F-Vigy,49.20382499999999,6.297587999999999,1,391005.0,nan,nan
676,F-Beaussais,46.29016800000001,-0.153069,2,661656.0,nan,nan
677,Lugnorre,46.9503685,7.076155399999999,1,82043.0,nan,nan
678,E-Valencia,39.4699075,-0.3762881,1,1187365.0,nan,nan
679,F-L'Hopital du Grosbois,47.172346,6.216624899999999,1,107456.0,nan,nan
680,Palézieux,46.5547204,6.8297563,12,18851.0,nan,nan
681,Corbeyrier,46.3491052,6.9598484,4,50925.0,nan,nan
682,F-Bussy St Georges,48.842205,2.69802,1,528914.0,nan,nan
683,F-Echenevex,46.308912,6.036173,10,61298.0,nan,nan
684,F-Longevilles Mont d'Or,46.753914,6.316812,2,58611.0,nan,nan
685,F-Chambery,45.564601,5.917781,3,150509.0,nan,nan
686,F-Orsay,48.697161,2.189617,1,511377.0,nan,nan
687,Corcelles-près-Payerne,46.8309425,6.9622657,4,48074.0,nan,nan
688,F-Saint Philbert Grand Li,n,a,1,257102.0,nan,nan
689,F-Froidfond,46.869079,-1.758649,1,885618.0,nan,nan
690,Courroux,47.3618071,7.374528499999998,2,149514.0,nan,nan
691,Sornetan,47.2742004,7.2159,1,133514.0,nan,nan
692,Saint-Prex,46.4829113,6.458343500000001,2,18033.0,5603,VD
693,Galmiz,46.9489963,7.1578548,2,83391.0,nan,nan
